iter	Passed	Remaining
1582	7105	1871
1583	7109	1867
1584	7113	1862
1585	7117	1857
1586	7120	1853
1587	7124	1848
1588	7128	1843
1589	7132	1839
1590	7136	1834
1591	7139	1829
1592	7143	1825
1593	7147	1820
1594	7151	1815
1595	7154	1811
1596	7158	1806
1597	7162	1801
1598	7165	1797
1599	7169	1792
1600	7173	1787
1601	7176	1783
1602	7180	1778
1603	7184	1773
1604	7188	1769
1605	7192	1764
1606	7195	1759
1607	7199	1755
1608	7203	1750
1609	7207	1745
1610	7211	1741
1611	7214	1736
1612	7219	1732
1613	7224	1727
1614	7228	1723
1615	7232	1718
1616	7236	1714
1617	7240	1709
1618	7244	1704
1619	7247	1700
1620	7251	1695
1621	7255	1690
1622	7258	1686
1623	7262	1681
1624	7265	1676
1625	7269	1672
1626	7272	1667
1627	7276	1662
1628	7280	1658
1629	7283	1653
1630	7287	1648
1631	7290	1643
1632	7294	1639
1633	7297	1634
1634	7301	1629
1635	7305	1625
1636	7308	1620
1637	7312	1616
1638	7315	1611
1639	7319	1606
1640	7323	1602
1641	7327	1597
1642	7330	1592
1643	7334	1588
1644	7337	1583
1645	7341	1578
1646	7345	1574
1647	7348	1569
1648	7352	1564
1649	7355	1560
1650	7359	1555
1651	7362	1551
1652	7366	1546
1653	7370	1541
1654	7373	1537
1655	7377	1532
1656	7380	1527
1657	7384	1523
1658	7387	1518
1659	7391	1513
1660	7394	1509
1661	7398	1504
1662	7402	1500
1663	7405	1495
1664	7409	1490
1665	7412	1486
1666	7416	1481
1667	7420	1476
1668	7423	1472
1669	7427	1467
1670	7430	1463
1671	7434	1458
1672	7438	1453
1673	7441	1449
1674	7445	1444
1675	7448	1440
1676	7453	1435
1677	7457	1430
1678	7461	1426
1679	7466	1422
